ID;Title;DOI;citation(in APA);year;venue;tool;manual analysis;custom tool description;tool justification/consequence;eyetracker;configuration eyetracker;study task;#participants;demographics;#items per participant;item type;item language;item scrolling;replication package;codes justification;codes consequence
S11;Classification of strategies for solving programming problems using AoI sequence analysis;http://dx.doi.org/10.1145/3314111.3319825;Obaidellah, U., Raschke, M., & Blascheck, T. (2019). Classification of strategies for solving programming problems using AoI sequence analysis. ETRA ’19: Proceedings of the 11th ACM Symposium on Eye Tracking Research & Applications. https://doi.org/10.1145/3314111.3319825;2019;conference;dispersion algorithm [Salvucci and Goldberg 2000, maximum dispersion = 18, minimum rows = 5] (fixations), Blickshift Analytics (fixation to AoI);;/;/;GP3 Gazepoint;"1920*1080 pixel, 23"" screen";comprehension (non-code);36;undergraduates;9;questions;/;no;https://dl.acm.org/action/downloadSupplement?doi=10.1145%2F3314111.3319825&file=a15-obaidellah.zip;;
S12;Indentation: Simply a Matter of Style or Support for Program Comprehension?;http://dx.doi.org/10.1109/ICPC.2019.00033;Bauer, J. D. C., Siegmund, J., Peitek, N., Hofmeister, J. C., & Apel, S. (2019). Indentation: Simply a Matter of Style or Support for Program Comprehension? 2019 IEEE/ACM 27th International Conference on Program Comprehension (ICPC). https://doi.org/10.1109/icpc.2019.00033;2019;conference;Tobii Eye Tracking Core 2.9.0;;;/;Tobii EyeX;"1920*1200 pixel, 24"" screen, 60Hz, 50 cm distance";program comprehension;22;15 students, 4 department, 3 employee;4;code snippet;Java;no;https://github.com/brains-on-code/indentation/;;
S13;Attention patterns for code animations: using eye trackers to evaluate dynamic code presentation techniques;http://dx.doi.org/10.1145/3191697.3214338;Spinelli, L., Pandey, M., & Oney, S. (2018). Attention patterns for code animations: using eye trackers to evaluate dynamic code presentation techniques. Programming ’18: Companion Proceedings of the 2nd International Conference on the Art, Science, and Engineering of Programming. https://doi.org/10.1145/3191697.3214338;2018;conference;not named;/;/;/;/;/;debugging;16;novices;3;code snippet;Python;no;no;;
S14;What Drives the Reading Order of Programmers?: An Eye Tracking Study;http://dx.doi.org/10.1145/3387904.3389279;Peitek, N., Siegmund, J., & Apel, S. (2020). What Drives the Reading Order of Programmers? ICPC ’20: Proceedings of the 28th International Conference on Program Comprehension. https://doi.org/10.1145/3387904.3389279;2020;conference;/;Savitzky-Golay filter (window length of 5, polynomial order of 3), velocity-based algorithm (fixations, saccades);/;"""Several of our used eye-movement measures are based on matching
a fixation to a source code line. This leaves some room for interpretation, as participants may use peripheral vision and do not
need to focus exactly on a source code line""";Tobii EyeX;1920*1200,1920*1080,1680*1050 pixel;program comprehension;29;12 novice, 19 intermediate;10;code snippet;Java;no;https://github.com/brains-on-code/eyetracking-linearity-replication/;;inaccuracy
S15;Developer Reading Behavior While Summarizing Java Methods: Size and Context Matters;http://dx.doi.org/10.1109/ICSE.2019.00052;Abid, N. J., Sharif, B., Dragan, N., Alrasheed, H., & Maletic, J. I. (2019). Developer Reading Behavior While Summarizing Java Methods: Size and Context Matters. 2019 IEEE/ACM 41st International Conference on Software Engineering (ICSE). https://doi.org/10.1109/icse.2019.00052;2019;conference;iTrace (fixations, saccades);/;/;"""The first limitation is that the maximum length of
methods included in their study is only 22 lines. That is, a
single fixed window of source code that must appear all at
once on the screen with no support for scrolling. The second
limitation is that methods are presented in complete isolation
with no ability to look at other methods or related code.
We overcome these two limitations by utilizing a new eyetracking infrastructure call iTrace [18, 19] that is developed
specifically for conducting eye-tracking studies within a software Integrated Development Environment""";Tobii X60;/;program comprehension;18;13 novice, 5 expert;15;code snippet;Java;yes;https://zenodo.org/record/2550768;scrolling, interaction with other elements;
S16;Eye movements in code review;http://dx.doi.org/10.1145/3216723.3216727;Begel, A., & Vrzakova, H. (2018). Eye movements in code review. EMIP ’18: Proceedings of the Workshop on Eye Movements in Programming. https://doi.org/10.1145/3216723.3216727;2018;conference;custom tool;;"extension for CodeFlow (""We recorded window
positions, window sizes, scroll positions, the mouse position in
screen and window coordinates, the filename and path of the code under review, and any review comments that were written."" ""Our extension translates the gaze position into an editor character location
to identify the code element at which the user is looking. This goal
is both simpler and higher-level than typical eye tracking analyses,
so instead of applying a fixation filter to the gaze positions (e.g.
Tobii’s I-VT algorithm) to stabilize the signal, we wrote our own
filter. We apply a “majority bounding box” to the data stream. Each
word in the editor is drawn inside of its own bounding box. For
the most recent 10 median eye gaze positions that coincide with
words in the document, the filter identifies the word whose bounding box contains the majority of those 10 points. """;"""Our extension translates the gaze position into an editor character location
to identify the code element at which the user is looking. This goal
is both simpler and higher-level than typical eye tracking analyses,
so instead of applying a fixation filter to the gaze positions (e.g.
Tobii’s I-VT algorithm) to stabilize the signal, we wrote our own
filter.""";Tobii EyeX portable;/;debugging;35;developers;40;code snippet;/;no;no;simple, high-level;
S17;How Programmers Read Regular Code: A Controlled Experiment Using Eye Tracking;https://doi.org/10.1007/s10664-016-9477-x;Jbara, A., & Feitelson, D. G. (2016). How programmers read regular code: a controlled experiment using eye tracking. Empirical Software Engineering, 22(3), 1440–1477. https://doi.org/10.1007/s10664-016-9477-x;2016;journal;Ogama;rectangular smoothing algorithm (scanpath);;"""OGAMA supports many commercial eye trackers like Tobii. In its last version (4.5) support for the Eye Tribe has been added. This builtin support makes the process easier and saves the import of the data between systems.""";Eye Tribe;1280*1024 pixel, 15*12 inches screen, font size 11;program comprehension;18;students;2;code snippet;/;no;no;support;
S18;Through (Tracking) Their Eyes: Abstraction and Complexity in Program Comprehension;http://dx.doi.org/10.1145/3480171;Kather, P., Duran, R., & Vahrenhold, J. (2021). Through (Tracking) their eyes: abstraction and complexity in program comprehension. ACM Transactions on Computing Education, 22(2), 1–33. https://doi.org/10.1145/3480171;2021;journal;Tobii Pro Lab (recording values);analyzed fixation times for areas of interest (AOIs);/;/;Tobii Pro Spectrum;;program comprehension;17;graduate students or working with degree;6;code snippet;/;no;no;;
S19;Visually Analyzing Students' Gaze on C++ Code Snippets;http://dx.doi.org/10.1109/EMIP.2019.00011;Peterson, C. S., Saddler, J. A., Blascheck, T., & Sharif, B. (2019b). Visually Analyzing Students’ Gaze on C++ Code Snippets. 2019 IEEE/ACM 6th International Workshop on Eye Movements in Programming (EMIP). https://doi.org/10.1109/emip.2019.00011;2019;conference;Tobii Studio (fixations, saccades), eyeCode(lines to fixations, AOI);;Vizmanip (correct fixations, https://github.com/SERESLab/fixation-correction-vizmanip);"""Even though Tobii Studio allows us to map fixations to lines,
it does not allow us to correct fixations. For this purpose, we
needed to export all the data out of Tobii Studio, correct the
data using our Vizmanip tool and map lines to fixations using
another tool named eyeCode"" ""The software also comes with
a special AOI image recognition tool that can be used to
automatically generate AOIs for source code snippets""";Tobii X60;/;program comprehension;17;12 novice, 5 non-novice;3;code snippet;C++;no;no;AOI recognition (eyeCode);no fixation correction (Tobii Studio)
S20;Using Eye Tracking to Investigate Reading Patterns and Learning Styles of Software Requirement Inspectors to Enhance Inspection Team Outcome;http://dx.doi.org/10.1145/2961111.2962598;Goswami, A., Walia, G. S., McCourt, M. E., & Padmanabhan, G. (2016). Using Eye Tracking to Investigate Reading Patterns and Learning Styles of Software Requirement Inspectors to Enhance Inspection Team Outcome. ESEM ’16: Proceedings of the 10th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement. https://doi.org/10.1145/2961111.2962598;2016;conference;EyeMMV (fixations, saccades, heatmaps, ROI);/;/;""" EyeMMV tool enabled us to visualize
fixations, scanpaths, and heatmaps""";EyeLink 1000;1080*1920 pixel, 55-60 cm distance;debugging;13;students;2;software requirements;/;no;no;visualization;
S21;How Does Feature Dependency Affect Configurable System Comprehensibility?;http://dx.doi.org/10.1109/ICPC.2019.00016;Santos, D. V. S., & Sant’Anna, C. (2019). How Does Feature Dependency Affect Configurable System Comprehensibility? 2019 IEEE/ACM 27th International Conference on Program Comprehension (ICPC). https://doi.org/10.1109/icpc.2019.00016;2019;conference;Ogama (fixations, AOI, aggregated attention map);/;/;/;Tobii EyeX;"1920*1080 pixel, 15"" screen";debugging;30;6 undergraduate, 6 MsC, 6 PhD, 6 professor, 6 developer industry;6;code snippet;C;no;no;;
S22;Eye Tracking Analysis of Code Layout, Crowding and Dyslexia - An Open Data Set;http://dx.doi.org/10.1145/3448018.3457420;McChesney, I., & Bond, R. (2021). Eye Tracking Analysis of Code Layout, Crowding and Dyslexia - An Open Data Set. ACM Symposium on Eye Tracking Research and Applications. https://doi.org/10.1145/3448018.3457420;2021;conference;Tobii Pro Lab v1.145 (fixations, saccades, AOI);/;/;/;Tobii X3-120;"1920*1080 pixel, 23,6"" screeen, 65 cm distance, 27/18 font size";code comprehension;30;14 dyslexia, 16 control;3;code snippet;Java;no;https://doi.org/10.6084/m9.figshare.c.5304473.v2 ( open data set);;
S23;An Eye Tracking Study on MISRA C Coding Guidelines;http://dx.doi.org/10.1145/3593663.3593671;Homann, A., Grabinger, L., Hauser, F., & Mottok, J. (2023). An Eye Tracking Study on MISRA C Coding Guidelines. ECSEE ’23: Proceedings of the 5th European Conference on Software Engineering Education. https://doi.org/10.1145/3593663.3593671;2023;conference;Tobii Pro Lab v1.145.28180;/;/;/;Tobii Pro Spectrum;"1920*1080 pixel, 23,8"" screen, 300 Hz";debugging;25;students;4;;C;no;www.doi.org/10.5281/zenodo.7898606;robust;
S24;Correlates of programmer efficacy and their link to experience: a combined EEG and eye-tracking study;http://dx.doi.org/10.1145/3540250.3549084;Peitek, N., Bergum, A., Rekrut, M., Mucke, J., Nadig, M., Parnin, C., Siegmund, J., & Apel, S. (2022). Correlates of programmer efficacy and their link to experience: a combined EEG and eye-tracking study. Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering. https://doi.org/10.1145/3540250.3549084;2022;conference;I2CM (fixations, saccades);AOIs;/;"""we used I2CM, which is a noise-robust algorithm""";Tobii Pro Fusion;/;code comprehension;37;27 undergraduates, 10 professionals;32;code snippet;Java;no;https://github.com/brains-on-code/NoviceVsExpert;;
S25;Evaluating gender difference on algorithmic problems using eye-tracker;http://dx.doi.org/10.1145/3204493.3204537;"Obaidellah, U., & Haek, M. A. (2018). Evaluating gender difference on algorithmic problems using eye-tracker. Proceedings of the 2018 ACM Symposium on Eye Tracking Research &Amp; Applications. https://doi.org/10.1145/3204493.3204537";2018;conference;/;/;/;/;Tobii T120;"1280*1024 pixel, 17"" screen, 60 Hz, 50-80 cm disctance";comprehension (non-code);51;undergraduates;6;pseudo code snippet;pseudo code;no;no;;
S26;Do Developers Read Compiler Error Messages?;http://dx.doi.org/10.1109/ICSE.2017.59;Barik, T., Smith, J. C., Lubick, K., Holmes, E., Feng, J., Murphy-Hill, E., & Parnin, C. (2017). Do Developers Read Compiler Error Messages? 2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE). https://doi.org/10.1109/icse.2017.59;2017;conference;GazePoint Software (fixations);/;"""We characterized two additional areas of interest that
transiently displayed error messages: 1) the error popup, which
appears when the developer hovers over the icon in the margin
of the source editor, and 2) the Quick Fix popup, which appears
when the developer hovers over the red wavy underline on
program elements in the source code, or when they activate
the Quick Fix feature explicitly.
To support automatic detection of each of the six areas of
interest, we implemented several techniques. For fixed-sized
AOIs, such as the popups, we extracted isolated screen captures
of each popup and saved them as templates. For dynamicallysized AOIs, we extracted the boundaries of the essential
features of the elements, and then performed a calculation
to dynamically compute its bounding rectangle""";"""The eye tracking instrument internally has a proprietary algorithm for differentiating fixations,
or sustained eye gazes, from other types of rapid eye movement
that naturally occurs as people process information. However,
the instrument has systematic measurement error in that the
fixations locations are misaligned by a constant factor. Thus,
for each of the participants’ tasks, we used the stimuli task as
a baseline to determine the initial horizontal and vertical offset.
For the remaining tasks, we adjusted the baseline as necessary.""";GazePoint GP3;"1920*1024 pixel, 24"" screen";debugging;56;students;10;code snippet;Java;no;https://static.barik.net/barik/gazerbeams/index.html;;proprietary, inaccuracy
S27;A Fine-grained Assessment on Novice Programmers’ Gaze Patterns on Pseudocode Problems;http://dx.doi.org/10.1145/3379156.3391982;Obaidellah, U., Blascheck, T., Guarnera, D. T., & Maletic, J. I. (2020). A fine-grained assessment on novice programmers’ gaze patterns on pseudocode problems. ACM Symposium on Eye Tracking Research and Applications. https://doi.org/10.1145/3379156.3391982;2020;conference;"arules library in R (patterns of AOI sequences), Hierarchical Cluster Analysis (tendency of sharing similar gaze patterns prior to selecting their
first choice of answer.)";/;/;/;Tobii T120;/;comprehension (non-code);56;students;6;pseudo code snippet;pseudo code;no;no;;
S28;A Closer Look at Machine Learning Code;http://dx.doi.org/10.1145/3411763.3451679;Weber, T., Winiker, C., & Hussmann, H. (2021). A Closer Look at Machine Learning Code. CHI EA ’21: Extended Abstracts of the 2021 CHI Conference on Human Factors in Computing Systems. https://doi.org/10.1145/3411763.3451679;2021;conference;not named;/;/;/;Tobii-92;/;program comprehension;6;ML novices;8;code snippet;Python;no;no;;
S29;Is Clustering Novice Programmers Possible? Investigating Scanpath Trend Analysis in Programming Tasks;http://dx.doi.org/10.1145/3588015.3589193;Ahsan, Z., & Obaidellah, U. (2023). Is Clustering Novice Programmers Possible? Investigating Scanpath Trend Analysis in Programming Tasks. ETRA ’23: Proceedings of the 2023 Symposium on Eye Tracking Research and Applications. https://doi.org/10.1145/3588015.3589193;2023;conference;not named;Scanpath Trend Analysis with Levenshtein distance (scanpaths);/;/;Tobii X2-30C;60 cm distance,;program comprehension;60;undergraduates;12;code snippet;Java;no;no;;
S30;When you ignore what you see: How to study proof-readers’ error in pseudocode reading;https://doi.org/10.1145/3379156.3391979;Chitalkina, N., Bednarik, R., Puurtinen, M., & Gruber, H. (2020). When you ignore what you see: How to study proof-readers’ error in pseudocode reading. ACM Symposium on Eye Tracking Research and Applications. https://doi.org/10.1145/3379156.3391979;2020;conference;Tobii Pro Lab with Tobii I-VT (fixations, saccades, AOI);/;/;/;Tobii TX300;1920*1080 pixel;program comprehension;1;expert;14;pseudo code snippet;pseudo code;no;no;;
S31;The effect of poor source code lexicon and readability on developers' cognitive load;https://doi.org/10.1145/3196321.3196347;Fakhoury, S., Ma, Y., Arnaoudova, V., & Adesope, O. (2018). The effect of poor source code lexicon and readability on developers’ cognitive load. The Effect of Poor Source Code Lexicon and Readability on Developers’ Cognitive Load. https://doi.org/10.1145/3196321.3196347;2018;conference;iTrace;/;extend the iTrace plugin to identify source code elements at a lower level of granularity, which is terms that compose identifiers;"""iTrace has
a fixation filter to filter out noisy data that may arise due to errors
from the eyetracker""";EyeTribe;18 font size;program comprehension, comprehension (noncode), debugging;15;students;4;code snippet;Java;no;https://github.com/smfakhoury/fNIRS-and-Cognitive-Load;fixation filter;
S32;Observations on the Linear Order of Program Code Reading Patterns in Programmers with Dyslexia;https://doi.org/10.1145/3383219.3383228;McChesney, I., & Bond, R. (2020). Observations on the Linear Order of Program Code Reading Patterns in Programmers with Dyslexia. Observations on the Linear Order of Program Code Reading Patterns in Programmers With Dyslexia. https://doi.org/10.1145/3383219.3383228;2020;conference;not named;Linearity of code reading (Busjahn et al., saccades), Needleman-Wunsch ( compare gaze patterns from eye gaze recordings);/;/;Tobii X60;"22"" screen, 1280*800 pixel, 60Hz, 22.5 font size, 70 cm distance";program comprehension;28;14 dyslexia, 14 without dyslexia;3;code snippet;Java;no;no;;
S33;An Analysis Scheme to Interpret Students' Cognitive Process in Error Finding Test;https://doi.org/10.1145/3425329.3425350;Liu, L., Liu, W., Li, X., Xu, J., & Cheng, W. (2020). An Analysis Scheme to Interpret Students’ Cognitive Process in Error Finding Test. An Analysis Scheme to Interpret Students’ Cognitive Process in Error Finding Test. https://doi.org/10.1145/3425329.3425350;2020;conference;not named;Matched Eye Movement Ratio;;;Tobii;/;debugging;19;undergraduates;4;code snippet;C;no;no;;
S34;Estimating developers' cognitive load at a fine-grained level using eye-tracking measures;https://doi.org/10.1145/3524610.3527890;Abbad-Andaloussi, A., Sorg, T., & Weber, B. (2022). Estimating developers’ cognitive load at a fine-grained level using eye-tracking measures. Estimating Developers’ Cognitive Load at a Fine-grained Level Using Eye-tracking Measures. https://doi.org/10.1145/3524610.3527890;2022;conference;iTrace (map gaze data with lines and columns), iMotions v.8.2 (fixations, pupil data, synchronizatiuon GSR<->eyetracking data);/;/;"""We used both iTrace and
iMotions to leverage their strengths. In particular, iTrace was used
to automatically map the forwarded gaze data with the lines and
columns gazed by the participant when reading the source code
in Eclipse IDE. iMotions, in turn, was used to design and run the
protocol of the experiment as well as to record pupil data and derive fixations (using the I-VT algorithm [37]) from the forwarded
gaze data. Moreover, the tool allowed us to monitor developers’
eye-movements and keep a constant eye on the data quality during
the data collection. Furthermore, since we have collected Galvanic
Skin Response (GSR) data (which will be analyzed in a follow-up
study), we used iMotions to handle the synchronization between
the GSR and the eye-tracking data.""";Tobii X3-120;;program comprehension;16;6 researchers, 6 PhD, 3 students, 1 IT administrator;9;code snippet;Java;no;https://github.com/aminobest/ICPC2022_fineGrainedCL;map data (iTrace), synchronization (iMotions);
S35;Predicting Successful Collaboration in a Pair Programming Eye Tracking Experiment;https://doi.org/10.1145/3213586.3225234;Villamor, M., & Rodrigo, M. M. T. (2018). Predicting Successful Collaboration in a Pair Programming Eye Tracking Experiment. Predicting Successful Collaboration in a Pair Programming Eye Tracking Experiment. https://doi.org/10.1145/3213586.3225234;2018;conference;CRP toolbox for MATLAB (CRQA);/;/;"""The challenge of using CRQA is finding optimal parameters
for delay, embed, and radius """;Gazepoint eye tracker;/;collaborative, debugging;84;students;12;code snippet;/;no;no;;finding optimal parameters
S36;Synchronized Analysis of Eye Movement and EEG during Program Comprehension;https://doi.org/10.1109/EMIP.2019.00012;Ishida, T., & Uwano, H. (2019). Synchronized Analysis of Eye Movement and EEG during Program Comprehension. Synchronized Analysis of Eye Movement and EEG During Program Comprehension. https://doi.org/10.1109/emip.2019.00012;2019;conference;none;/;"C# GUI application with three tabbed-windows to display the task materials, records synchronized eye
movement and operation (tab switching) for analysis (fixation ratio of each material)";;Tobii 4C;"1920*1080 pixel, 21,3"" screen,";program comprehension;5;undergraduates;16;code snippet;Java;no;no;;
S37;Toward conjoint analysis of simultaneous eye-tracking and fMRI data for program-comprehension studies;http://dx.doi.org/10.1145/3216723.3216725;Peitek, N., Siegmund, J., Parnin, C., Apel, S., & Brechmann, A. (2018b). Toward conjoint analysis of simultaneous eye-tracking and fMRI data for program-comprehension studies. Toward Conjoint Analysis of Simultaneous Eye-tracking and fMRI Data for Program-comprehension Studies. https://doi.org/10.1145/3216723.3216725;2018;conference;Ogama (fixations, saccades, AOI, heat maps);/;/;"""We see the need for a dedicated open-source tool that
similarly sets the base for simultaneous fMRI and eye-tracking experiments and, in the long term, for multi-modal experiments of
program comprehension."" ""Ogama is an established eye-tracking
analysis tool, which provides capabilities
for replaying recorded data, heat maps, area-of-interest (AOI) analysis, and statistical analysis """;EyeLink 1000;/;program comprehension;22;students;25;code snippet;Java;no;https://github.com/brains-on-code/simultaneous-fmri-and-eyetracking;well-established;no synchronization betweem fMRI and eye tracker
S38;Trustworthiness Perceptions in Code Review: An Eye-tracking Study;http://dx.doi.org/10.1145/3382494.3422164;Bertram, I., Hong, J., Huang, Y., Weimer, W., & Sharafi, Z. (2020). Trustworthiness Perceptions in Code Review. Trustworthiness Perceptions in Code Review: An Eye-tracking Study. https://doi.org/10.1145/3382494.3422164;2020;conference;iTrace (fixations, saccades);/;/;"""To support scrolling, switching
between files, and editing files, we installed and used the iTrace
0.0.1A plugin [32], which gathers all necessary measurements while
allowing participants to interact with source code and other artifacts naturally.""";Tobii Pro X3-120;"70 cm distance, 27"" screen, 1920*1080 pixel";debugging;10;5 undergraduates and 5 graduates;6;code snippet;Java;yes;https://web.eecs.umich.edu/~weimerw/data/trust-perception/;scrolling, interaction;
S39;Attention in Software Maintenance: An Eye Tracking Study;http://dx.doi.org/10.1109/EMIP.2019.00009;Ahrens, M., Schneider, K., & Busch, M. (2019). Attention in Software Maintenance: An Eye Tracking Study. Attention in Software Maintenance: An Eye Tracking Study. https://doi.org/10.1109/emip.2019.00009;2019;conference;Tobii I-VT fixation filter (fixations, saccades);/;""" we built a copy of the Eclipse IDE as a website. 
This web image of Eclipse supports eye tracking code files 
that require scrolling, as well as switching between code tabs.""";"""Current state of the art eye trackers are still limited when
it comes to recording dynamical content such as scrollable or
editable areas. As of now, the only environment that supports
scrolling is static websites shown in the browser. Hence, most
eye tracking studies that investigate program comprehension
only observe code snippets limited to screen size. To create
a more realistic setup and be able to show longer and more
code files, we built a copy of the Eclipse IDE as a website.""";Tobii X3-120;"24"" screen, 1920*1200 pixel";program comprehension;22;8 students, 8 PhD, 6 professional developers;6;code snippet;Java;yes;no;scrolling, more realistic;
